date-retrieved,vendor,title,price,availability,evaluation,ratingcount
2024-03-21,Acer,Acer Aspire 3 (A317-53-7117),"579,00 €",Sofort ab Lager/Express,4,4
2024-03-21,Acer,Acer Extensa 215 (EX215-55-30UU),"319,00 €",Sofort ab Lager/Express,1,2
2024-03-21,Acer,Acer Aspire 5 (A515-57G-541Q),"549,00 €",Sofort ab Lager/Express,4,4
2024-03-21,Acer,Acer Aspire 5 (A517-58GM-72YC),"1.199,00 €",Sofort ab Lager/Express,3,2
2024-03-21,Acer,Acer Chromebook 314 (CB314-2HT-K4GV),"199,00 €",Sofort ab Lager/Express,4,9
2024-03-21,Acer,Acer Aspire 5 (A515-57-50HC),"579,00 €",Sofort ab Lager/Express,4,4
2024-03-21,Acer,Acer Aspire 3 (A317-53-39KB),"449,00 €",Sofort ab Lager/Express,4,4
2024-03-21,Acer,Acer Aspire 5 (A515-58M-77G1),"699,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Acer,Acer Aspire 3 (A317-53-538B),"549,00 €",Sofort ab Lager/Express,4,4
2024-03-21,Acer,Acer Aspire 5 (A515-48M-R2N4),"499,00 €",Sofort ab Lager/Express,2,2
2024-03-21,Apple,"Apple MacBook Air (M1, 2020) MGN93D/A Silber","849,00 €",Sofort ab Lager/Express,5,26
2024-03-21,Apple,"Apple MacBook Air (M1, 2020) MGN63D/A SpaceGrau","849,00 €",Sofort ab Lager/Express,5,56
2024-03-21,Apple,"Apple MacBook Air 13"" (M2, 2022) MLXW3D/A Space Grau","1.049,00 €",Sofort ab Lager/Express,5,36
2024-03-21,Apple,"Apple MacBook Air (M1, 2020) MGND3D/A Gold","849,00 €",Sofort ab Lager/Express,5,56
2024-03-21,Apple,"Apple MacBook Air (M2, 2022) MLY33D/A Mitternacht","1.049,00 €",Sofort ab Lager/Express,5,36
2024-03-21,Apple,"Apple MacBook Air 15"" (M2, 2023) MQKP3D/A Space Grau","1.299,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Apple,"Apple MacBook Air 13,6"" M3 MRXV3D/A Mitternacht","1.248,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Apple,Apple MacBook Pro MRX33D/A Space Schwarz,"2.199,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Apple,"Apple MacBook Air 13,6"" 2022,Apple M2 Chip 8-Core,8-Core GPU","1.287,00 €",Sofort ab Lager/Express,5,36
2024-03-21,Apple,"Apple MacBook Air 13,6"" M3 MXCV3D/A Mitternacht","1.698,00 €",Jetzt vorbestellen,0,0
2024-03-21,Asus,ASUS ROG Strix G17 G713PI-LL077,"1.799,00 €",Sofort ab Lager/Express,4,11
2024-03-21,Asus,ASUS Zenbook 14 UM425QA-KI271W,"599,00 €",Sofort ab Lager/Express,4,9
2024-03-21,Asus,ASUS Vivobook 17 X1704ZA-AU175,"549,00 €",Sofort ab Lager/Express,5,1
2024-03-21,Asus,ASUS Vivobook 17X K3704VA-AU073W,"899,00 €",Sofort ab Lager/Express,3,3
2024-03-21,Asus,ASUS Vivobook 17 X1704ZA-AU021W,"549,00 €",Voraussichtlich 03.04.2024,5,1
2024-03-21,Asus,ASUS TUF A15 FA507NU-LP069W,"949,00 €",Sofort ab Lager/Express,4,3
2024-03-21,Asus,ASUS Vivobook 15 M515UA-BQ584W,"499,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Asus,ASUS Zenbook 14 OLED UM3402YA-KM452W,"899,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Asus,ASUS ROG Strix G16 G614JZ-N4013W,"2.199,00 €",Sofort ab Lager/Express,0,0
2024-03-21,Asus,ASUS ROG Strix G17 G713PV-LL047,"1.349,00 €",Sofort ab Lager/Express,4,16
2024-03-21,Dell,Dell Latitude 3540 (RNHKD),"888,99 €",Sofort ab Lager/Express,0,0
2024-03-21,Dell,Dell Latitude 5440 (840T3),"1.195,99 €",Sofort ab Lager/Express,0,0
2024-03-21,Dell,Dell Latitude 5540 (7363G),"925,99 €",Sofort ab Lager/Express,0,0
2024-03-21,Dell,DELL Precision 3580 23JJK,"1.233,99 €",Jetzt vorbestellen,0,0
2024-03-21,Dell,Dell Latitude 5440 (7DW0T),"987,99 €",Sofort ab Lager/Express,0,0
2024-03-21,Dell,Dell Latitude 5540 (1F8R2),"1.223,99 €",Sofort ab Lager/Express,0,0
